Photo Name,Quality Parameter,Original Size (KB),QJPEG Size (KB),CV2 Size (KB),Time QFT (s),Time DCT (s)
Blue Marble,0,177716.01,8309.42,3567.01,2252.6418,4.3216
Blue Marble,5,177716.01,8717.24,3568.39,2263.6936,4.4129
Blue Marble,10,177716.01,9868.56,3619.82,2320.6195,4.6538
Blue Marble,15,177716.01,11118.98,3678.24,2182.9394,4.3974
Blue Marble,20,177716.01,12402.48,3780,2308.8572,4.5269
Blue Marble,25,177716.01,13715.87,3873.76,2208.998,4.4932
Blue Marble,30,177716.01,15008.87,3991.04,2401.8978,4.7945
Blue Marble,35,177716.01,16295.88,4121,2493.2676,4.6648
Blue Marble,40,177716.01,17423.87,4216.23,2483.1712,4.8503
Blue Marble,45,177716.01,18735.74,4354.12,2375.1277,4.8862
Blue Marble,50,177716.01,19891.69,4479.96,2282.8635,4.8863
Blue Marble,55,177716.01,21053.59,4614.75,2298.1257,5.0195
Blue Marble,60,177716.01,22604.49,4812.23,2249.194,4.9855
Blue Marble,65,177716.01,24516.08,5045.98,2247.5951,4.9033
Blue Marble,70,177716.01,26883.91,5365.96,2259.3853,4.9217
Blue Marble,75,177716.01,29474.35,5757.01,2280.5767,4.9563
Blue Marble,80,177716.01,33516.74,6409.7,2277.669,5.0935
Blue Marble,85,177716.01,39341.1,7431.39,2344.8856,5.0377
Blue Marble,90,177716.01,49522.26,9323.19,2667.4666,5.2694
Blue Marble,95,177716.01,71880.44,13954.49,2527.1939,5.4041
Blue Marble,100,177716.01,130227.27,35662.51,2831.7998,4.5516
DNA,0,51.7,28.69,11.51,5.7782,0.0137
DNA,5,51.7,31.21,11.65,5.5797,0.0185
DNA,10,51.7,35.69,12.66,5.7305,0.0182
DNA,15,51.7,39.75,13.6,5.7153,0.013
DNA,20,51.7,42.85,14.42,5.5024,0.0136
DNA,25,51.7,46.01,15.27,5.5646,0.0156
DNA,30,51.7,48.81,15.89,5.5359,0.012
DNA,35,51.7,50.97,16.64,5.7978,0.006
DNA,40,51.7,53.2,17.22,7.2752,0.008
DNA,45,51.7,55.17,17.91,8.4887,0
DNA,50,51.7,56.89,18.54,5.7962,0
DNA,55,51.7,59.09,19.18,5.6902,0.0078
DNA,60,51.7,61.7,19.99,5.7182,0.006
DNA,65,51.7,64.83,21.02,5.7389,0.006
DNA,70,51.7,68.62,22.27,5.899,0.0113
DNA,75,51.7,72.82,23.82,5.6573,0
DNA,80,51.7,77.91,26.42,5.6709,0
DNA,85,51.7,84.6,30.06,5.6718,0.0196
DNA,90,51.7,98.54,36.57,5.918,0.0212
DNA,95,51.7,126.09,50.8,5.903,0.0184
DNA,100,51.7,189.78,100.33,6.1133,0.0105
Episode3,0,1911.63,56.49,22.08,10.9456,0.0076
Episode3,5,1911.63,67.41,22.18,10.9808,0.0121
Episode3,10,1911.63,89.88,23.84,11.2567,0.0118
Episode3,15,1911.63,109.97,25.61,11.1289,0.0196
Episode3,20,1911.63,128.1,27.83,11.2448,0.0068
Episode3,25,1911.63,144.68,29.98,11.2275,0.019
Episode3,30,1911.63,159.85,32.21,11.4957,0.0142
Episode3,35,1911.63,174.7,34.53,11.4007,0.0064
Episode3,40,1911.63,186.7,36.27,11.4111,0.0115
Episode3,45,1911.63,200.49,38.63,11.7345,0.0078
Episode3,50,1911.63,211.85,40.66,11.695,0.0158
Episode3,55,1911.63,223.8,42.86,11.5154,0.02
