Photo Name,Quality Parameter,Original Size (KB),QJPEG Size (KB),CV2 Size (KB),Time QFT (s),Time DCT (s)
Blue Marble,0,177716.01,4303.63,3855.14,1247.5182,2.4150
Blue Marble,5,177716.01,4688.58,4231.90,1193.1797,2.3791
Blue Marble,10,177716.01,5708.44,5222.58,1087.5494,2.4122
Blue Marble,15,177716.01,6751.51,6228.78,1081.0061,2.4053
Blue Marble,20,177716.01,7735.37,7158.45,1082.1826,2.4304
Blue Marble,25,177716.01,8673.99,8033.95,1074.1394,2.3696
Blue Marble,30,177716.01,9546.55,8840.34,1077.0487,2.3839
Blue Marble,35,177716.01,10383.13,9611.73,1080.1220,2.2243
Blue Marble,40,177716.01,11098.08,10243.60,1083.8811,2.3311
Blue Marble,45,177716.01,11898.83,10955.28,1088.5660,2.5147
Blue Marble,50,177716.01,12602.11,11582.32,1099.7258,2.6136
Blue Marble,55,177716.01,13303.08,12213.07,1155.9112,2.8961
Blue Marble,60,177716.01,14216.14,13012.95,1203.1103,2.4553
Blue Marble,65,177716.01,15340.71,13982.93,1215.8080,2.4592
Blue Marble,70,177716.01,16728.33,15206.37,1108.5581,2.4790
Blue Marble,75,177716.01,18266.02,16582.54,1111.5966,2.3077
Blue Marble,80,177716.01,20676.28,18746.99,1124.0531,2.5254
Blue Marble,85,177716.01,24141.11,21861.33,1146.3145,2.5001
Blue Marble,90,177716.01,30194.70,27287.43,1155.5480,2.5443
Blue Marble,95,177716.01,43187.00,39363.54,1188.2609,2.3700
Blue Marble,100,177716.01,74650.69,77502.03,1369.5267,2.8150
DNA,0,51.70,16.67,15.44,4.0388,0.0040
DNA,5,51.70,19.03,17.40,4.0224,0.0040
DNA,10,51.70,22.99,21.06,4.5717,0.0040
DNA,15,51.70,26.73,24.22,3.9219,0.0030
DNA,20,51.70,29.58,26.84,3.8996,0.0050
DNA,25,51.70,32.52,29.41,3.9420,0.0040
DNA,30,51.70,35.00,31.93,3.9471,0.0040
DNA,35,51.70,36.82,33.74,3.9532,0.0040
DNA,40,51.70,38.56,35.28,4.0058,0.0060
DNA,45,51.70,40.05,36.89,4.3010,0.0076
DNA,50,51.70,41.41,38.37,4.4174,0.0060
DNA,55,51.70,43.26,40.16,4.0209,0.0070
DNA,60,51.70,45.43,42.19,3.9876,0.0040
DNA,65,51.70,47.86,44.55,4.0275,0.0070
DNA,70,51.70,50.94,47.72,3.9934,0.0154
DNA,75,51.70,54.28,50.85,4.0245,0.0067
DNA,80,51.70,57.99,54.43,3.9949,0.0075
DNA,85,51.70,62.63,58.84,4.0159,0.0058
DNA,90,51.70,72.44,67.65,4.4688,0.0050
DNA,95,51.70,90.01,83.53,4.0718,0.0070
DNA,100,51.70,126.99,127.54,4.2517,0.0050
Episode3,0,1911.63,32.52,29.48,7.8098,0.0377
Episode3,5,1911.63,42.00,38.08,7.8404,0.0290
Episode3,10,1911.63,60.52,55.05,8.0932,0.0372
Episode3,15,1911.63,76.32,69.38,8.2835,0.0295
Episode3,20,1911.63,90.44,82.16,8.0077,0.0280
Episode3,25,1911.63,103.22,93.72,8.0285,0.0283
Episode3,30,1911.63,114.72,104.30,8.0880,0.0295
Episode3,35,1911.63,125.88,114.69,8.4737,0.0280
Episode3,40,1911.63,134.73,122.64,8.1623,0.0280
Episode3,45,1911.63,144.65,131.59,8.3301,0.0290
Episode3,50,1911.63,152.96,139.17,8.2288,0.0282
Episode3,55,1911.63,161.75,147.20,8.2333,0.0331
Episode3,60,1911.63,172.79,157.18,8.2557,0.0270
Episode3,65,1911.63,186.25,169.39,8.2940,0.0291
Episode3,70,1911.63,202.70,184.40,8.3571,0.0307
Episode3,75,1911.63,221.25,201.78,8.4266,0.0280
Episode3,80,1911.63,250.31,229.03,8.6485,0.0320
Episode3,85,1911.63,290.05,266.33,8.5966,0.0320
Episode3,90,1911.63,359.88,330.88,8.7987,0.0290
Episode3,95,1911.63,506.14,468.31,9.5650,0.0358
Episode3,100,1911.63,845.84,877.97,10.6201,0.0330
ESA,0,14762.30,106.62,97.00,30.8022,0.0260
ESA,5,14762.30,134.97,123.57,30.8644,0.0250
ESA,10,14762.30,193.03,178.40,31.2506,0.0270
ESA,15,14762.30,239.38,221.13,31.2724,0.0265
ESA,20,14762.30,280.44,258.18,31.6161,0.0260
ESA,25,14762.30,320.19,294.30,31.6783,0.0295
ESA,30,14762.30,354.61,326.40,31.9907,0.0265
ESA,35,14762.30,411.10,379.33,31.8522,0.0273
ESA,40,14762.30,431.21,396.70,32.1207,0.0270
ESA,45,14762.30,450.81,412.00,32.0934,0.0287
ESA,50,14762.30,470.45,428.34,32.2793,0.0310
ESA,55,14762.30,495.07,451.68,32.1700,0.0260
ESA,60,14762.30,654.36,614.88,32.8097,0.0316
ESA,65,14762.30,773.47,720.99,33.1772,0.0280
ESA,70,14762.30,817.89,759.79,33.4717,0.0310
ESA,75,14762.30,869.21,803.81,33.6040,0.0335
ESA,80,14762.30,926.88,855.83,33.4984,0.0340
ESA,85,14762.30,1006.00,935.07,34.1571,0.0347
ESA,90,14762.30,1280.48,1201.25,34.0422,0.0330
ESA,95,14762.30,1711.77,1583.61,34.3609,0.0320
ESA,100,14762.30,2640.30,2812.44,37.6234,0.0370
ETA,0,14762.30,89.84,80.63,30.7185,0.0237
ETA,5,14762.30,93.56,83.70,30.7957,0.0250
ETA,10,14762.30,101.23,90.95,30.8474,0.0220
ETA,15,14762.30,109.58,97.94,31.1121,0.0315
ETA,20,14762.30,119.55,107.17,31.0642,0.0260
ETA,25,14762.30,130.86,116.69,31.0085,0.0250
ETA,30,14762.30,151.05,136.57,30.9952,0.0240
ETA,35,14762.30,185.39,169.46,31.1956,0.0260
ETA,40,14762.30,192.33,174.50,31.1447,0.0230
ETA,45,14762.30,198.28,177.78,31.1813,0.0280
ETA,50,14762.30,204.26,181.53,31.1820,0.0363
ETA,55,14762.30,218.52,197.41,31.2548,0.0291
ETA,60,14762.30,424.65,411.47,32.1874,0.0316
ETA,65,14762.30,523.47,496.21,32.4136,0.0320
ETA,70,14762.30,540.89,507.11,32.6397,0.0325
ETA,75,14762.30,569.68,526.52,32.4448,0.0411
ETA,80,14762.30,593.30,547.50,32.7335,0.0330
ETA,85,14762.30,629.44,590.63,32.6237,0.0330
ETA,90,14762.30,844.01,798.17,33.0397,0.0299
ETA,95,14762.30,1143.49,1053.76,33.1909,0.0330
ETA,100,14762.30,1803.15,1976.48,35.4377,0.0340
Friday,0,398.17,8.29,7.50,1.9756,0.0060
Friday,5,398.17,9.67,8.79,1.9911,0.0100
Friday,10,398.17,14.07,12.67,2.0277,0.0070
Friday,15,398.17,17.93,16.41,2.0208,0.0090
Friday,20,398.17,21.81,19.90,2.0268,0.0080
Friday,25,398.17,25.22,23.10,2.3429,0.0070
Friday,30,398.17,28.32,25.94,2.2111,0.0070
Friday,35,398.17,31.26,28.79,2.0577,0.0070
Friday,40,398.17,33.59,30.99,2.0526,0.0060
Friday,45,398.17,36.33,33.57,2.0689,0.0080
Friday,50,398.17,38.74,35.74,2.1079,0.0070
Friday,55,398.17,41.14,38.06,2.0907,0.0100
Friday,60,398.17,44.14,41.02,2.0817,0.0070
Friday,65,398.17,47.93,44.51,2.0763,0.0080
Friday,70,398.17,52.13,48.73,2.0845,0.0080
Friday,75,398.17,57.09,53.46,2.1200,0.0070
Friday,80,398.17,64.74,60.85,2.2289,0.0070
Friday,85,398.17,75.01,70.93,2.1877,0.0070
Friday,90,398.17,92.31,87.36,2.2456,0.0080
Friday,95,398.17,127.85,120.82,2.3291,0.0090
Friday,100,398.17,213.55,218.14,2.5313,0.0090
FridayBoat,0,95.64,13.83,12.46,4.1941,0.0050
FridayBoat,5,95.64,16.60,14.52,3.9202,0.0070
FridayBoat,10,95.64,22.16,19.36,3.9239,0.0050
FridayBoat,15,95.64,26.74,23.20,3.9845,0.0050
FridayBoat,20,95.64,31.24,27.03,3.9909,0.0070
FridayBoat,25,95.64,35.08,30.16,4.5717,0.0076
FridayBoat,30,95.64,38.62,33.47,3.9707,0.0050
FridayBoat,35,95.64,43.51,37.68,4.0095,0.0070
FridayBoat,40,95.64,45.42,39.11,4.3354,0.0080
FridayBoat,45,95.64,47.27,40.62,4.0663,0.0060
FridayBoat,50,95.64,49.11,42.18,3.9643,0.0050
FridayBoat,55,95.64,51.32,44.29,3.9841,0.0071
FridayBoat,60,95.64,60.87,53.72,4.0090,0.0074
FridayBoat,65,95.64,68.45,60.18,4.0555,0.0050
FridayBoat,70,95.64,72.36,63.32,4.0722,0.0053
FridayBoat,75,95.64,76.83,67.24,4.1508,0.0080
FridayBoat,80,95.64,82.65,72.15,4.5815,0.0165
FridayBoat,85,95.64,90.73,79.27,4.1197,0.0150
FridayBoat,90,95.64,113.33,99.38,4.0919,0.0090
FridayBoat,95,95.64,150.23,131.32,4.3286,0.0070
FridayBoat,100,95.64,231.95,251.94,4.4405,0.0080
JOJO,0,1865.26,39.49,36.19,8.0559,0.0270
JOJO,5,1865.26,49.93,45.39,7.9348,0.0260
JOJO,10,1865.26,71.55,64.49,7.9945,0.0260
JOJO,15,1865.26,90.70,81.68,8.0658,0.0280
JOJO,20,1865.26,107.69,96.32,8.1698,0.0280
JOJO,25,1865.26,123.85,110.28,8.2028,0.0300
JOJO,30,1865.26,138.66,124.53,8.7658,0.0300
JOJO,35,1865.26,152.00,138.04,8.4253,0.0320
JOJO,40,1865.26,161.65,147.74,8.2786,0.0292
JOJO,45,1865.26,171.89,157.84,8.3723,0.0308
JOJO,50,1865.26,180.73,166.54,8.7799,0.0285
JOJO,55,1865.26,189.94,175.46,8.3902,0.0320
JOJO,60,1865.26,201.50,186.16,8.4874,0.0290
JOJO,65,1865.26,215.53,198.75,8.4343,0.0310
JOJO,70,1865.26,231.02,213.48,9.0212,0.0290
JOJO,75,1865.26,249.01,231.12,8.4916,0.0291
JOJO,80,1865.26,275.03,255.74,8.6187,0.0320
JOJO,85,1865.26,310.63,288.26,8.6438,0.0310
JOJO,90,1865.26,378.24,348.47,9.0250,0.0290
JOJO,95,1865.26,519.99,475.67,9.0900,0.0325
JOJO,100,1865.26,882.87,917.44,10.3881,0.0310
JOJOW3,0,2138.34,40.02,36.90,7.8831,0.0330
JOJOW3,5,2138.34,51.90,47.71,8.0029,0.0360
JOJOW3,10,2138.34,73.56,67.71,8.2409,0.0344
JOJOW3,15,2138.34,92.71,84.85,8.1224,0.0370
JOJOW3,20,2138.34,109.37,100.18,8.1822,0.0340
JOJOW3,25,2138.34,125.04,114.64,8.2056,0.0380
JOJOW3,30,2138.34,140.09,128.78,8.4378,0.0350
JOJOW3,35,2138.34,154.26,141.98,8.3350,0.0370
JOJOW3,40,2138.34,166.60,152.55,8.3870,0.0364
JOJOW3,45,2138.34,179.39,164.12,8.4329,0.0366
JOJOW3,50,2138.34,190.65,174.43,8.4584,0.0360
JOJOW3,55,2138.34,202.41,185.60,8.3860,0.0370
JOJOW3,60,2138.34,217.07,198.75,8.4515,0.0360
JOJOW3,65,2138.34,235.28,215.59,8.9078,0.0370
JOJOW3,70,2138.34,256.68,235.66,8.6202,0.0380
JOJOW3,75,2138.34,281.35,259.03,8.8008,0.0421
JOJOW3,80,2138.34,319.09,294.44,8.7788,0.0390
JOJOW3,85,2138.34,369.89,342.63,8.9602,0.0390
JOJOW3,90,2138.34,458.76,426.35,9.1905,0.0380
JOJOW3,95,2138.34,645.37,603.79,9.5793,0.0399
JOJOW3,100,2138.34,1117.66,1163.71,11.0386,0.0420
Onion,0,4175.13,74.61,66.97,16.5077,0.0760
Onion,5,4175.13,79.97,71.66,16.3084,0.0770
Onion,10,4175.13,94.41,84.86,16.6055,0.0750
Onion,15,4175.13,109.45,98.95,16.3835,0.0784
Onion,20,4175.13,124.39,112.86,16.9693,0.0780
Onion,25,4175.13,139.08,126.68,16.4990,0.0780
Onion,30,4175.13,153.33,140.09,16.8404,0.0781
Onion,35,4175.13,167.03,153.23,16.5709,0.0805
Onion,40,4175.13,178.84,164.24,16.9328,0.0790
Onion,45,4175.13,193.26,177.65,16.7239,0.0818
Onion,50,4175.13,205.25,189.21,17.1605,0.0770
Onion,55,4175.13,218.23,201.62,16.8962,0.0794
Onion,60,4175.13,234.84,217.51,17.1464,0.0770
Onion,65,4175.13,258.01,238.59,16.9072,0.0793
Onion,70,4175.13,285.10,265.04,17.3004,0.0785
Onion,75,4175.13,317.77,296.28,17.2104,0.0805
Onion,80,4175.13,372.10,348.38,17.3214,0.0785
Onion,85,4175.13,449.45,423.46,17.5438,0.0810
Onion,90,4175.13,594.28,558.60,18.3632,0.0830
Onion,95,4175.13,916.82,858.23,18.9929,0.0846
Onion,100,4175.13,1797.16,1930.82,22.7359,0.0915
Starwars,0,2061.29,132.60,121.95,31.0998,0.0410
Starwars,5,2061.29,177.88,164.80,31.3180,0.0440
Starwars,10,2061.29,279.13,259.99,31.6868,0.0430
Starwars,15,2061.29,369.50,344.39,32.1671,0.0460
Starwars,20,2061.29,451.59,420.56,32.4911,0.0450
Starwars,25,2061.29,531.27,494.55,32.6716,0.0500
Starwars,30,2061.29,598.00,557.50,32.9810,0.0470
Starwars,35,2061.29,673.51,629.00,32.9994,0.0470
Starwars,40,2061.29,721.21,670.05,33.4692,0.0480
Starwars,45,2061.29,818.41,758.41,33.8167,0.0490
Starwars,50,2061.29,861.00,792.88,33.8799,0.0473
Starwars,55,2061.29,897.77,824.45,33.8461,0.0491
Starwars,60,2061.29,1001.88,926.17,34.3356,0.0505
Starwars,65,2061.29,1124.77,1041.32,34.8640,0.0492
Starwars,70,2061.29,1186.97,1096.72,34.8518,0.0480
Starwars,75,2061.29,1254.98,1160.02,35.0151,0.0500
Starwars,80,2061.29,1552.28,1471.63,35.6557,0.0522
Starwars,85,2061.29,1869.17,1783.62,37.2324,0.0545
Starwars,90,2061.29,2144.30,2067.46,37.4825,0.0565
Starwars,95,2061.29,2919.24,2785.40,38.0758,0.0612
Starwars,100,2061.29,4437.19,4572.34,41.5246,0.0650
starwarsoriginal,0,578.60,29.61,26.94,7.8150,0.0160
starwarsoriginal,5,578.60,34.93,31.61,8.2060,0.0133
starwarsoriginal,10,578.60,45.85,41.29,8.2932,0.0160
starwarsoriginal,15,578.60,55.37,49.95,7.9256,0.0176
starwarsoriginal,20,578.60,63.67,57.37,7.9460,0.0160
starwarsoriginal,25,578.60,71.69,64.52,7.9827,0.0160
starwarsoriginal,30,578.60,79.12,71.27,8.4813,0.0180
starwarsoriginal,35,578.60,86.07,77.77,7.9947,0.0180
starwarsoriginal,40,578.60,92.09,83.19,8.0718,0.0170
starwarsoriginal,45,578.60,99.19,89.73,8.1181,0.0145
starwarsoriginal,50,578.60,105.05,95.19,8.5082,0.0180
starwarsoriginal,55,578.60,110.95,100.84,8.1051,0.0170
starwarsoriginal,60,578.60,118.63,108.14,8.1414,0.0161
starwarsoriginal,65,578.60,128.90,117.37,8.1643,0.0190
starwarsoriginal,70,578.60,140.41,128.48,8.6602,0.0190
starwarsoriginal,75,578.60,154.05,141.32,8.2387,0.0170
starwarsoriginal,80,578.60,176.29,162.26,8.7001,0.0186
starwarsoriginal,85,578.60,208.26,192.60,8.4281,0.0170
starwarsoriginal,90,578.60,270.85,249.98,8.5797,0.0170
starwarsoriginal,95,578.60,422.64,387.51,9.0188,0.0180
starwarsoriginal,100,578.60,869.53,912.60,11.0518,0.0201
StarwarsRise,0,355.14,42.46,38.30,8.1486,0.0150
StarwarsRise,5,355.14,51.00,45.85,8.1273,0.0160
StarwarsRise,10,355.14,69.95,62.59,8.2559,0.0160
StarwarsRise,15,355.14,86.10,77.56,8.4732,0.0150
StarwarsRise,20,355.14,101.12,91.11,8.3356,0.0170
StarwarsRise,25,355.14,115.61,104.54,8.3949,0.0167
StarwarsRise,30,355.14,128.36,116.27,8.9477,0.0150
StarwarsRise,35,355.14,143.63,130.87,8.5017,0.0170
StarwarsRise,40,355.14,152.90,139.31,8.5257,0.0160
StarwarsRise,45,355.14,162.57,147.97,8.5160,0.0150
StarwarsRise,50,355.14,172.26,157.10,9.1833,0.0180
StarwarsRise,55,355.14,184.40,168.43,8.6247,0.0150
StarwarsRise,60,355.14,200.45,184.36,8.6253,0.0160
StarwarsRise,65,355.14,224.53,206.41,8.7862,0.0180
StarwarsRise,70,355.14,243.01,223.28,9.1819,0.0160
StarwarsRise,75,355.14,267.95,246.82,8.8738,0.0180
StarwarsRise,80,355.14,305.85,282.42,9.0148,0.0190
StarwarsRise,85,355.14,341.14,315.79,9.2259,0.0191
StarwarsRise,90,355.14,404.63,373.58,9.2019,0.0180
StarwarsRise,95,355.14,541.35,501.45,9.2151,0.0231
StarwarsRise,100,355.14,810.42,866.16,10.2017,0.0190
Tanks,0,1163.92,16.07,14.80,3.9271,0.0160
Tanks,5,1163.92,18.63,17.11,3.9724,0.0190
Tanks,10,1163.92,24.86,22.88,4.0349,0.0190
Tanks,15,1163.92,31.01,28.57,4.4252,0.0270
Tanks,20,1163.92,36.72,33.77,4.0022,0.0191
Tanks,25,1163.92,42.22,38.82,4.0190,0.0180
Tanks,30,1163.92,47.46,43.69,4.0864,0.0190
Tanks,35,1163.92,52.51,48.32,4.1041,0.0180
Tanks,40,1163.92,57.02,52.42,4.3408,0.0180
Tanks,45,1163.92,62.00,57.04,4.1190,0.0210
Tanks,50,1163.92,66.45,61.11,4.1605,0.0210
Tanks,55,1163.92,71.03,65.37,4.4732,0.0201
Tanks,60,1163.92,76.94,70.92,4.1965,0.0185
Tanks,65,1163.92,84.80,77.90,4.1879,0.0210
Tanks,70,1163.92,94.19,86.63,4.2019,0.0180
Tanks,75,1163.92,105.13,96.91,4.2680,0.0180
Tanks,80,1163.92,122.60,113.36,4.3324,0.0210
Tanks,85,1163.92,147.50,136.97,4.4115,0.0190
Tanks,90,1163.92,192.46,178.40,5.0794,0.0210
Tanks,95,1163.92,285.74,265.01,4.9745,0.0233
Tanks,100,1163.92,532.07,565.14,5.9887,0.0220
WildFriday,0,1697.71,19.73,18.05,3.9471,0.0170
WildFriday,5,1697.71,25.15,23.29,4.0264,0.0210
WildFriday,10,1697.71,36.17,33.61,4.0754,0.0192
WildFriday,15,1697.71,45.85,42.91,4.0688,0.0170
WildFriday,20,1697.71,55.60,51.68,4.0871,0.0170
WildFriday,25,1697.71,64.55,60.12,4.1566,0.0220
WildFriday,30,1697.71,72.90,68.00,4.1240,0.0190
WildFriday,35,1697.71,81.04,75.74,4.1538,0.0191
WildFriday,40,1697.71,87.93,82.03,4.1841,0.0210
WildFriday,45,1697.71,95.83,89.41,4.2336,0.0200
WildFriday,50,1697.71,102.73,95.80,4.2251,0.0210
WildFriday,55,1697.71,109.97,102.55,4.2555,0.0190
WildFriday,60,1697.71,119.48,111.36,4.2845,0.0230
WildFriday,65,1697.71,131.63,122.44,4.3506,0.0190
WildFriday,70,1697.71,146.87,136.64,4.4079,0.0200
WildFriday,75,1697.71,165.14,153.69,4.8925,0.0340
WildFriday,80,1697.71,193.58,180.18,4.6666,0.0210
WildFriday,85,1697.71,233.42,216.72,4.6586,0.0210
WildFriday,90,1697.71,300.97,278.12,4.8648,0.0200
WildFriday,95,1697.71,432.62,400.27,5.2423,0.0210
WildFriday,100,1697.71,758.10,771.90,6.3967,0.0250
