Photo Name,Quality Parameter,Original Size (KB),QJPEG Size (KB),CV2 Size (KB),Time QFT (s),Time DCT (s),QFT Compression,JPEG Compression,Size differential
Blue Marble,0,177716.01,4303.63,3855.14,1247.5182,2.415,0.024216333,0.021692699,448.49
Blue Marble,5,177716.01,4688.58,4231.9,1193.1797,2.3791,0.026382429,0.023812711,456.68
Blue Marble,10,177716.01,5708.44,5222.58,1087.5494,2.4122,0.032121135,0.029387223,485.86
Blue Marble,15,177716.01,6751.51,6228.78,1081.0061,2.4053,0.037990443,0.035049065,522.73
Blue Marble,20,177716.01,7735.37,7158.45,1082.1826,2.4304,0.043526579,0.040280276,576.92
Blue Marble,25,177716.01,8673.99,8033.95,1074.1394,2.3696,0.048808152,0.045206676,640.04
Blue Marble,30,177716.01,9546.55,8840.34,1077.0487,2.3839,0.053718008,0.049744196,706.21
Blue Marble,35,177716.01,10383.13,9611.73,1080.122,2.2243,0.058425406,0.054084773,771.4
Blue Marble,40,177716.01,11098.08,10243.6,1083.8811,2.3311,0.062448397,0.057640277,854.48
Blue Marble,45,177716.01,11898.83,10955.28,1088.566,2.5147,0.066954182,0.061644868,943.55
Blue Marble,50,177716.01,12602.11,11582.32,1099.7258,2.6136,0.070911507,0.065173194,1019.79
Blue Marble,55,177716.01,13303.08,12213.07,1155.9112,2.8961,0.074855833,0.068722396,1090.01
Blue Marble,60,177716.01,14216.14,13012.95,1203.1103,2.4553,0.079993581,0.073223285,1203.19
Blue Marble,65,177716.01,15340.71,13982.93,1215.808,2.4592,0.086321486,0.078681319,1357.78
Blue Marble,70,177716.01,16728.33,15206.37,1108.5581,2.479,0.094129561,0.08556556,1521.96
Blue Marble,75,177716.01,18266.02,16582.54,1111.5966,2.3077,0.102782073,0.093309207,1683.48
Blue Marble,80,177716.01,20676.28,18746.99,1124.0531,2.5254,0.116344498,0.10548847,1929.29
Blue Marble,85,177716.01,24141.11,21861.33,1146.3145,2.5001,0.135840941,0.123012721,2279.78
Blue Marble,90,177716.01,30194.7,27287.43,1155.548,2.5443,0.16990422,0.153545142,2907.27
Blue Marble,95,177716.01,43187,39363.54,1188.2609,2.37,0.243011308,0.22149687,3823.46
Blue Marble,100,177716.01,74650.69,77502.03,1369.5267,2.815,0.420056077,0.436100439,-2851.34
DNA,0,51.7,16.67,15.44,4.0388,0.004,0.322437137,0.298646035,1.23
DNA,5,51.7,19.03,17.4,4.0224,0.004,0.368085106,0.33655706,1.63
DNA,10,51.7,22.99,21.06,4.5717,0.004,0.444680851,0.407350097,1.93
DNA,15,51.7,26.73,24.22,3.9219,0.003,0.517021277,0.468471954,2.51
DNA,20,51.7,29.58,26.84,3.8996,0.005,0.572147002,0.519148936,2.74
DNA,25,51.7,32.52,29.41,3.942,0.004,0.62901354,0.568858801,3.11
DNA,30,51.7,35,31.93,3.9471,0.004,0.676982592,0.617601547,3.07
DNA,35,51.7,36.82,33.74,3.9532,0.004,0.712185687,0.652611219,3.08
DNA,40,51.7,38.56,35.28,4.0058,0.006,0.745841393,0.682398453,3.28
DNA,45,51.7,40.05,36.89,4.301,0.0076,0.774661509,0.713539652,3.16
DNA,50,51.7,41.41,38.37,4.4174,0.006,0.800967118,0.742166344,3.04
DNA,55,51.7,43.26,40.16,4.0209,0.007,0.836750484,0.776789168,3.1
DNA,60,51.7,45.43,42.19,3.9876,0.004,0.878723404,0.816054159,3.24
DNA,65,51.7,47.86,44.55,4.0275,0.007,0.925725338,0.861702128,3.31
DNA,70,51.7,50.94,47.72,3.9934,0.0154,0.985299807,0.923017408,3.22
DNA,75,51.7,54.28,50.85,4.0245,0.0067,1.049903288,0.983558994,3.43
DNA,80,51.7,57.99,54.43,3.9949,0.0075,1.121663443,1.052804642,3.56
