,Name,DCT Time,QDCT Time,Height,Width,New Height,New Width,NumBlocks
0,Blue Marble,10.352168400000664,652.2742018999998,10800,21600,10800,21600,10935000
1,DNA,0.03513990000647027,2.4796824999939417,920,750,920,752,32430
2,Episode3,0.06257090000144672,4.6523659999947995,1440,947,1440,952,64260
3,ESA,0.2202116999978898,18.48182079999242,1944,2592,1944,2592,236196
4,ETA,0.22266590000072028,18.383702499995707,1944,2592,1944,2592,236196
5,Friday,0.016932600003201514,1.1742068999883486,748,500,752,504,17766
6,FridayBoat,0.030260300001828,2.327005300001474,1000,659,1000,664,31125
7,JOJO,0.06843999998818617,4.674783800001023,1500,988,1504,992,69936
8,JOJOW3,0.06894289999036118,4.650562299997546,1016,1500,1016,1504,71628
9,Onion,0.17687299998942763,9.283200999998371,2304,1728,2304,1728,186624
10,Starwars,0.24033840000629425,18.432901200008928,2881,1920,2888,1920,259920
11,starwarsoriginal,0.06386009999550879,4.696729199989932,900,1600,904,1600,67800
12,StarwarsRise,0.08917479999945499,4.718531700011226,1657,1200,1664,1200,93600
13,Tanks,0.03800509999564383,2.6627184999961173,632,1311,632,1312,38868
14,WildFriday,0.03700830000161659,2.3176018000085605,900,900,904,904,38307
